AE 460 Airfoil Pressure Distribution Laboratory


Data Point #, AOA, q_WT corrected, q_corr_fac, AmbTemp, AmbPress, Reynolds #, ,x/c,1.0000,0.8000,0.7000,0.6000,0.5000,0.4000,0.3000,0.2000,0.1000,0.0500,0.0000,0.0500,0.1000,0.2000,0.3000,0.4000,0.5000,0.6000,0.7000,0.8000,1.0000
20.0000000,20.0000000,0.0664625,0.9070000,530.3700000,14.2433500,159315.9687500, ,p[psid],-0.0341799,-0.0584254,-0.0580695,-0.0559723,-0.0541078,-0.0521164,-0.0515711,-0.0511543,-0.0517668,-0.0528939,-0.0165288,0.0558982,0.0443843,0.0318865,0.0243028,0.0176859,0.0122846,0.0060160,-0.0008031,-0.0099344,-0.0341799
21.0000000,18.0000000,0.0632619,0.9070000,530.3700000,14.2433500,155432.5625000, ,p[psid],-0.0301603,-0.0519489,-0.0514808,-0.0503871,-0.0489610,-0.0466647,-0.0448300,-0.0445130,-0.0456427,-0.0475237,-0.0061628,0.0508119,0.0396943,0.0283215,0.0216760,0.0158232,0.0111194,0.0055835,-0.0003532,-0.0083716,-0.0301603
22.0000000,16.0000000,0.0635267,0.9070000,530.3700000,14.2433500,155757.5625000, ,p[psid],-0.0295153,-0.0488628,-0.0495405,-0.0488223,-0.0480895,-0.0468733,-0.0467972,-0.0478684,-0.0474526,-0.0469861,0.0211175,0.0440800,0.0330015,0.0227007,0.0168858,0.0116711,0.0074177,0.0024015,-0.0030274,-0.0101679,-0.0295153
23.0000000,14.0000000,0.0641807,0.9070000,530.3700000,14.2433500,156557.2031250, ,p[psid],-0.0277609,-0.0464019,-0.0467639,-0.0457914,-0.0446555,-0.0436118,-0.0434884,-0.0442962,-0.0435007,-0.0465061,0.0351558,0.0395793,0.0291029,0.0199254,0.0149491,0.0104235,0.0066313,0.0021807,-0.0026905,-0.0091199,-0.0277609
24.0000000,12.0000000,0.0638060,0.9070000,530.3700000,14.2433500,156099.5468750, ,p[psid],-0.0033928,-0.0147358,-0.0268932,-0.0427974,-0.0586922,-0.0769584,-0.0975789,-0.1380439,-0.1628046,-0.2019922,-0.0594754,0.0535103,0.0419013,0.0308658,0.0253224,0.0209273,0.0178478,0.0146177,0.0115865,0.0079503,-0.0033928
25.0000000,10.0000000,0.0652276,0.9070000,530.3700000,14.2433500,157828.9687500, ,p[psid],-0.0028934,-0.0150448,-0.0293277,-0.0452834,-0.0595191,-0.0725134,-0.1154814,-0.1260060,-0.1476444,-0.1781379,-0.0137469,0.0484261,0.0368960,0.0270426,0.0225177,0.0190019,0.0165859,0.0140775,0.0118823,0.0092581,-0.0028934
26.0000000,8.0000000,0.0642322,0.9070000,530.3700000,14.2433500,156620.0156250, ,p[psid],-0.0035420,-0.0154470,-0.0292153,-0.0438190,-0.0550362,-0.0698159,-0.1006695,-0.1124982,-0.1285072,-0.1477790,0.0201894,0.0401214,0.0296881,0.0216899,0.0182542,0.0155936,0.0137833,0.0118620,0.0102327,0.0083630,-0.0035420
27.0000000,6.0000000,0.0662832,0.9070000,530.3700000,14.2433500,159100.8906250, ,p[psid],-0.0042304,-0.0161243,-0.0295960,-0.0428975,-0.0512739,-0.0830660,-0.0892876,-0.1051444,-0.1134525,-0.1221909,0.0486426,0.0309982,0.0221029,0.0162391,0.0141545,0.0124604,0.0112611,0.0099564,0.0089949,0.0076636,-0.0042304
28.0000000,4.0000000,0.0628430,0.9070000,530.3700000,14.2433500,154917.1406250, ,p[psid],-0.0043488,-0.0148002,-0.0257507,-0.0369285,-0.0587148,-0.0637342,-0.0724909,-0.0875860,-0.0872644,-0.0846592,0.0605479,0.0160748,0.0107135,0.0083175,0.0080342,0.0075809,0.0072105,0.0067501,0.0065536,0.0061026,-0.0043488
29.0000000,2.0000000,0.0646735,0.9070000,530.3700000,14.2433500,157157.1875000, ,p[psid],-0.0038463,-0.0120015,-0.0259542,-0.0432234,-0.0467130,-0.0534869,-0.0604732,-0.0709982,-0.0612208,-0.0459515,0.0642210,-0.0069517,-0.0059050,-0.0026790,-0.0000623,0.0013944,0.0022005,0.0028343,0.0036448,0.0043089,-0.0038463
30.0000000,0.0000000,0.0645491,0.9070000,530.3700000,14.2433500,157005.9062500, ,p[psid],-0.0038815,-0.0105176,-0.0347610,-0.0362968,-0.0409107,-0.0473331,-0.0519475,-0.0592281,-0.0447881,-0.0235008,0.0580516,-0.0234310,-0.0173828,-0.0101374,-0.0054765,-0.0027909,-0.0011953,0.0002451,0.0016173,0.0027546,-0.0038815
31.0000000,-2.0000000,0.0656033,0.9070000,530.3700000,14.2433500,158282.8125000, ,p[psid],-0.0073860,-0.0157389,-0.0293364,-0.0313582,-0.0367801,-0.0425059,-0.0452119,-0.0496278,-0.0310968,-0.0048495,0.0404589,-0.0413208,-0.0298066,-0.0186031,-0.0122985,-0.0077821,-0.0038798,-0.0019376,-0.0001169,0.0009670,-0.0073860
32.0000000,-4.0000000,0.0642034,0.9070000,530.3700000,14.2433500,156584.9687500, ,p[psid],-0.0107335,-0.0210227,-0.0219420,-0.0250433,-0.0304471,-0.0341417,-0.0342616,-0.0349356,-0.0129392,0.0162708,0.0004685,-0.0684416,-0.0521228,-0.0248074,-0.0164328,-0.0112758,-0.0080607,-0.0052665,-0.0025108,-0.0004442,-0.0107335
33.0000000,-6.0000000,0.0628959,0.9070000,530.3700000,14.2433500,154982.3125000, ,p[psid],-0.0085732,-0.0156840,-0.0173186,-0.0218229,-0.0258165,-0.0274232,-0.0253453,-0.0228714,0.0014667,0.0316031,-0.0473731,-0.1110901,-0.0574470,-0.0331042,-0.0222722,-0.0156908,-0.0114602,-0.0078021,-0.0043515,-0.0014624,-0.0085732
